VideoID: ca72a5ac-2735-4df4-8274-5e0841853d4e
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
2,2017-11-05 13:04:59:822,01e7e1fab05d4ca8adef35d61f0fd044,0
5,2017-11-05 13:04:59:822,01e7e1fab05d4ca8adef35d61f0fd044,1
2,2017-11-05 13:05:01:672,01e7e1fab05d4ca8adef35d61f0fd044,0
3,2017-11-05 13:04:59:822,01e7e1fab05d4ca8adef35d61f0fd044,1
1,2017-11-05 13:04:59:822,01e7e1fab05d4ca8adef35d61f0fd044,0
5,2017-11-05 13:05:02:510,01e7e1fab05d4ca8adef35d61f0fd044,0
0,2017-11-05 13:04:59:822,01e7e1fab05d4ca8adef35d61f0fd044,0
2,2017-11-05 13:05:03:69,01e7e1fab05d4ca8adef35d61f0fd044,1
4,2017-11-05 13:04:59:822,01e7e1fab05d4ca8adef35d61f0fd044,0
1,2017-11-05 13:05:01:574,01e7e1fab05d4ca8adef35d61f0fd044,1
0,2017-11-05 13:05:01:569,01e7e1fab05d4ca8adef35d61f0fd044,1
4,2017-11-05 13:05:01:561,01e7e1fab05d4ca8adef35d61f0fd044,1
